clip_id,video_name,frame,timestamp_s,track_id,x_px,y_px,confidence,speed_px_per_frame,is_active,vial_id,x_rel_px,x_corrected_mm,y_corrected_mm,dx,dy,speed_mm_per_frame,velocity_mm_s
15,FVI_20231127_151027_img0015,15,0.5000833472245374,73776,1649.4907,1572.0635,0.3004051446914673,0.0,0,28142,-155.37184999999977,-11.543687686728473,99.0400005,0.0,0.0,0.0,0.0
15,FVI_20231127_151027_img0015,16,0.5334222370395065,73776,1649.4127,1571.9263,0.2583449780941009,0.1578297317028045,0,28142,-155.44984999999974,-11.55241234630847,99.0313569,-0.008724659579996796,-0.008643599999999196,0.01228134787988745,0.36844043639662355
15,FVI_20231127_151027_img0015,2,0.0666777796299383,73863,1894.8784,1430.0334,0.7854042053222656,0.0,0,28142,90.01585000000023,5.915766318348518,90.09210420000001,0.0,0.0,0.0,0.0
15,FVI_20231127_151027_img0015,3,0.1000166694449074,73863,1895.0735,1430.3203,0.7891451120376587,0.3469053506851196,0,28142,90.21095000000014,5.929766969439511,90.11017890000001,0.01400065109099291,0.018074699999999666,0.022862917816011782,0.6858875344803534
15,FVI_20231127_151027_img0015,4,0.1333555592598766,73863,1895.3223,1430.518,0.7904391884803772,0.3177254796028137,0,28142,90.45975000000021,5.947621208247516,90.122634,0.017854238808005185,0.012455099999996833,0.021769321519588054,0.6530796455876416
15,FVI_20231127_151027_img0015,5,0.1666944490748458,73863,1895.3081,1430.5376,0.7906841039657593,0.0242231916636228,0,28142,90.44555000000014,5.94660219622551,90.12386880000001,-0.0010190120220059384,0.0012348000000059756,0.0016009736228331148,0.04802920868499345
15,FVI_20231127_151027_img0015,6,0.2000333388898149,73863,1895.3347,1430.5375,0.7962602376937866,0.0266116075217723,0,28142,90.47215000000028,5.948511049731521,90.1238625,0.001908853506010999,-6.3000000096735675e-06,0.0019088639022755407,0.057265917068266226
15,FVI_20231127_151027_img0015,7,0.2333722287047841,73863,1895.4392,1430.5691,0.7917172908782959,0.1091705188155174,0,28142,90.5766500000002,5.956048723671515,90.1258533,0.0075376739399937165,0.0019908000000015136,0.007796140908530734,0.23388422725592203
15,FVI_20231127_151027_img0015,8,0.2667111185197532,73863,1895.4813,1430.69,0.7923663258552551,0.1279774904251098,0,28142,90.61875000000009,5.959086058062507,90.13347,0.0030373343909921857,0.00761669999999981,0.008199970676331774,0.24599912028995324
15,FVI_20231127_151027_img0015,9,0.3000500083347224,73863,1895.4541,1430.6589,0.793559193611145,0.0412599444389343,0,28142,90.5915500000001,5.957123694750508,90.13151069999999,-0.001962363311998949,-0.001959300000009989,0.0027730355674456517,0.08319106702336955
15,FVI_20231127_151027_img0015,10,0.3333888981496916,73863,1895.4539,1430.6464,0.7928062677383423,0.0125756124034523,0,28142,90.59135000000015,5.957109265608511,90.1307232,-1.4429141996785688e-05,-0.0007874999999870624,0.0007876321794583985,0.023628965383751956
15,FVI_20231127_151027_img0015,11,0.3667277879646607,73863,1895.4504,1430.6409,0.792942225933075,0.0064697265625,0,28142,90.58785000000012,5.956856755623509,90.13037670000001,-0.0002525099850023693,-0.00034649999999203374,0.00042874647814340836,0.01286239434430225
15,FVI_20231127_151027_img0015,12,0.4000666777796299,73863,1895.4468,1430.6365,0.7918077111244202,0.0057203979231417,0,28142,90.58425000000011,5.956597031067509,90.1300995,-0.000259724555999874,-0.0002772000000135222,0.0003798640348819935,0.011395921046459805
15,FVI_20231127_151027_img0015,13,0.4334055675945991,73863,1895.3601,1430.2065,0.7706408500671387,0.4385805428028106,0,28142,90.49755000000027,5.95034199801052,90.1030095,-0.0062550330569886015,-0.02709000000000117,0.027802761347464813,0.8340828404239444
15,FVI_20231127_151027_img0015,14,0.4667444574095682,73863,1895.3296,1430.0765,0.7701693177223206,0.1335387229919433,0,28142,90.4670500000002,5.948145066540515,90.0948195,-0.0021969314700056586,-0.008189999999999031,0.008479540546744579,0.2543862164023374
15,FVI_20231127_151027_img0015,15,0.5000833472245374,73863,1895.3218,1429.9697,0.7704564929008484,0.1070968583226203,0,28142,90.45925000000011,5.947585327542509,90.08809110000001,-0.0005597389980058765,-0.006728399999985868,0.006751642341363948,0.20254927024091843
15,FVI_20231127_151027_img0015,16,0.5334222370395065,73863,1895.3118,1429.8892,0.7726166248321533,0.0811858400702476,0,28142,90.44925000000012,5.94686771344251,90.0830196,-0.0007176140999991532,-0.005071500000013884,0.00512201935242912,0.1536605805728736
