track_id,total_distance,avg_speed,max_speed,activity_level,movement_frequency,stationary_duration,pose_variability,turning_frequency,time_in_center,time_in_edge,time_in_corner,track_length,duration
0,7.119955906090542,0.8937183145720348,3.8891554969298934,0.7949790794979079,33,1.6401673640167367,0.09518505737955588,79.49790794979079,0.7,0.3,0.0,240,8.0
1,4.035954541514517,0.5066051725750441,4.354302038696901,0.502092050209205,30,3.98326359832636,0.07558991041783805,76.98744769874477,0.4625,0.5375,0.0,240,8.0
2,7.241496705566764,0.9089744818703052,3.8891554969298934,0.799163179916318,34,1.6066945606694558,0.08846869461624879,78.66108786610879,0.7083333333333334,0.2916666666666667,0.0,240,8.0
3,7.163265178853138,0.8991546249606449,3.8891554969298934,0.803347280334728,34,1.5732217573221758,0.08953202267071195,79.49790794979079,0.6333333333333333,0.36666666666666664,0.0,240,8.0
4,7.124955984494563,0.894345939476305,3.8891554969298934,0.799163179916318,33,1.6066945606694558,0.09454976682001406,78.66108786610879,0.7,0.3,0.0,240,8.0
5,7.321965756376629,0.9190751995451837,3.8891554969298934,0.8075313807531381,33,1.539748953974895,0.08938159075253718,78.66108786610879,0.7083333333333334,0.2916666666666667,0.0,240,8.0
6,3.9775064133587614,0.4992685874508907,4.354302038696901,0.502092050209205,30,3.98326359832636,0.07539014961275446,76.15062761506276,0.4625,0.5375,0.0,240,8.0
7,3.965186914876693,0.497722206888288,4.354302038696901,0.502092050209205,30,3.98326359832636,0.07545714916180181,76.15062761506276,0.4625,0.5375,0.0,240,8.0
8,3.9491740833975335,0.49571222804153153,4.354302038696901,0.5146443514644351,28,3.882845188284519,0.07971569024515754,74.47698744769873,0.3375,0.6625,0.0,240,8.0
9,3.771606706983219,0.4734234360229983,4.354302038696901,0.48535564853556484,31,4.117154811715482,0.07462891416700844,76.98744769874477,0.4625,0.5375,0.0,240,8.0
10,4.03611332256955,0.5066251032514081,4.354302038696901,0.502092050209205,30,3.98326359832636,0.07558572010798195,76.98744769874477,0.4625,0.5375,0.0,240,8.0
11,3.7908818972163814,0.4758429159685836,4.354302038696901,0.48535564853556484,31,4.117154811715482,0.07463012129834024,77.40585774058577,0.4625,0.5375,0.0,240,8.0
12,3.78090000651379,0.4745899589766265,4.354302038696901,0.48535564853556484,31,4.117154811715482,0.07468248502115811,77.40585774058577,0.4625,0.5375,0.0,240,8.0
13,3.822641451544261,0.47982947090513745,4.354302038696901,0.4811715481171548,29,4.150627615062762,0.0754712849446881,77.82426778242679,0.3958333333333333,0.6041666666666666,0.0,240,8.0
14,7.354650115008171,0.9231778387039544,3.8891554969298934,0.8075313807531381,33,1.539748953974895,0.08953518991339089,78.66108786610879,0.7041666666666667,0.29583333333333334,0.0,240,8.0
15,4.000039433181929,0.5020969999809953,4.354302038696901,0.502092050209205,30,3.98326359832636,0.07792347085872726,76.15062761506276,0.44583333333333336,0.5541666666666667,0.0,240,8.0
16,3.8242449480873333,0.48003074662184114,4.354302038696901,0.48535564853556484,29,4.117154811715482,0.0754240268910046,77.82426778242679,0.3958333333333333,0.6041666666666666,0.0,240,8.0
17,7.15590060991014,0.8982302020807706,3.8891554969298934,0.799163179916318,32,1.6066945606694558,0.09583191075735735,79.49790794979079,0.6833333333333333,0.31666666666666665,0.0,240,8.0
18,7.125808873223805,0.8944529966389714,3.8891554969298934,0.7949790794979079,33,1.6401673640167367,0.09516992486172535,79.07949790794979,0.7,0.3,0.0,240,8.0
19,7.2179709225486555,0.9060214547132204,3.8891554969298934,0.7949790794979079,33,1.6401673640167367,0.08878837597007556,79.07949790794979,0.7083333333333334,0.2916666666666667,0.0,240,8.0
20,7.354289174110952,0.9231325323151823,3.8891554969298934,0.8075313807531381,33,1.539748953974895,0.08952956437484404,78.66108786610879,0.7041666666666667,0.29583333333333334,0.0,240,8.0
21,7.23654452036482,0.9083528686650402,3.8891554969298934,0.803347280334728,34,1.5732217573221758,0.08872189506365458,79.07949790794979,0.7083333333333334,0.2916666666666667,0.0,240,8.0
22,7.136109295947719,0.8957459367298394,3.8891554969298934,0.799163179916318,33,1.6066945606694558,0.0946422632517212,78.66108786610879,0.7,0.3,0.0,240,8.0
23,7.16927372325067,0.8999088355544773,3.8891554969298934,0.803347280334728,34,1.5732217573221758,0.08956948829228348,79.07949790794979,0.6333333333333333,0.36666666666666664,0.0,240,8.0
24,3.7912714552894076,0.47589181447147383,4.354302038696901,0.48535564853556484,31,4.117154811715482,0.07462396315823877,76.98744769874477,0.4625,0.5375,0.0,240,8.0
25,7.217491034616147,0.9059612177342445,3.8891554969298934,0.7949790794979079,33,1.6401673640167367,0.0887887150693589,79.07949790794979,0.7083333333333334,0.2916666666666667,0.0,240,8.0
26,3.968225443092739,0.4981036121036912,4.354302038696901,0.502092050209205,30,3.98326359832636,0.07573402993763771,76.56903765690377,0.4625,0.5375,0.0,240,8.0
27,3.8243590587237986,0.4800450701326945,4.354302038696901,0.48535564853556484,29,4.117154811715482,0.07542391089834669,77.82426778242679,0.3958333333333333,0.6041666666666666,0.0,240,8.0
28,4.001147746820104,0.5022361188477119,4.354302038696901,0.502092050209205,30,3.98326359832636,0.07792228026420471,76.15062761506276,0.44583333333333336,0.5541666666666667,0.0,240,8.0
29,7.1671781181280885,0.899645788886371,3.8891554969298934,0.803347280334728,34,1.5732217573221758,0.08956816586110028,79.07949790794979,0.6333333333333333,0.36666666666666664,0.0,240,8.0
30,3.772016409553549,0.47347486312387654,4.354302038696901,0.48535564853556484,31,4.117154811715482,0.07462748403744694,76.98744769874477,0.4625,0.5375,0.0,240,8.0
31,7.242909007340539,0.9091517582435823,3.8891554969298934,0.799163179916318,34,1.6066945606694558,0.0884696655473611,78.66108786610879,0.7083333333333334,0.2916666666666667,0.0,240,8.0
32,3.9688068052391148,0.4981765864316882,4.354302038696901,0.502092050209205,30,3.98326359832636,0.07573674251507255,76.56903765690377,0.4625,0.5375,0.0,240,8.0
33,3.7729392255085434,0.4735906977625788,4.354302038696901,0.48535564853556484,31,4.117154811715482,0.07462900145654802,76.98744769874477,0.4625,0.5375,0.0,240,8.0
34,7.165050062057306,0.8993786688774861,3.8891554969298934,0.803347280334728,34,1.5732217573221758,0.08953183312854297,79.49790794979079,0.6333333333333333,0.36666666666666664,0.0,240,8.0
35,3.798644070589207,0.47681724735429387,4.354302038696901,0.48535564853556484,31,4.117154811715482,0.074635933861552,76.98744769874477,0.4625,0.5375,0.0,240,8.0
36,3.9695124923065315,0.49826516639830953,4.354302038696901,0.5188284518828452,29,3.8493723849372383,0.07970340709431059,74.47698744769873,0.3375,0.6625,0.0,240,8.0
37,4.03608499346961,0.5066215472974408,4.354302038696901,0.502092050209205,30,3.98326359832636,0.07557865956543486,76.98744769874477,0.4625,0.5375,0.0,240,8.0
38,7.125015865965201,0.8943534559788956,3.8891554969298934,0.7949790794979079,33,1.6401673640167367,0.09516646474696377,79.07949790794979,0.7,0.3,0.0,240,8.0
39,4.035845334244995,0.5065914645495811,4.354302038696901,0.502092050209205,30,3.98326359832636,0.07558532844952212,76.98744769874477,0.4625,0.5375,0.0,240,8.0
40,3.9796056851115393,0.4995320943654653,4.354302038696901,0.502092050209205,30,3.98326359832636,0.07538460306180574,76.15062761506276,0.4625,0.5375,0.0,240,8.0
41,3.9243414242659544,0.4925951578576513,4.354302038696901,0.5146443514644351,30,3.882845188284519,0.07845712544167073,75.73221757322176,0.3333333333333333,0.6666666666666666,0.0,240,8.0
42,4.035218081074026,0.5065127298419281,4.354302038696901,0.502092050209205,30,3.98326359832636,0.0755833419960669,76.98744769874477,0.4625,0.5375,0.0,240,8.0
43,7.3220491723585885,0.9190856701705342,3.8891554969298934,0.8075313807531381,33,1.539748953974895,0.08938590634649489,78.66108786610879,0.7083333333333334,0.2916666666666667,0.0,240,8.0
44,3.8558247090167823,0.483994733349387,4.354302038696901,0.497907949790795,30,4.01673640167364,0.07480145680809276,76.98744769874477,0.4625,0.5375,0.0,240,8.0
45,3.8510241358377466,0.4833921509419767,4.354302038696901,0.497907949790795,30,4.01673640167364,0.07479771458806247,76.98744769874477,0.4625,0.5375,0.0,240,8.0
46,7.153986340556082,0.8979899172246129,3.8891554969298934,0.799163179916318,32,1.6066945606694558,0.095831577813992,79.49790794979079,0.6833333333333333,0.31666666666666665,0.0,240,8.0
47,7.124803926260801,0.8943268526687199,3.8891554969298934,0.7949790794979079,33,1.6401673640167367,0.09516537137471848,79.07949790794979,0.7,0.3,0.0,240,8.0
48,3.8552658844532597,0.4839245880066855,4.354302038696901,0.497907949790795,30,4.01673640167364,0.07480104818912081,76.98744769874477,0.4625,0.5375,0.0,240,8.0
49,3.795905935114542,0.47647354834073763,4.354302038696901,0.48535564853556484,31,4.117154811715482,0.07463262389950123,76.98744769874477,0.4625,0.5375,0.0,240,8.0
50,7.321504006594329,0.9190172393214638,3.8891554969298934,0.8075313807531381,33,1.539748953974895,0.0893834524579265,78.66108786610879,0.7083333333333334,0.2916666666666667,0.0,240,8.0
51,3.8741916179537195,0.48630020309042515,4.354302038696901,0.5146443514644351,30,3.882845188284519,0.07806768473229482,76.56903765690377,0.3333333333333333,0.6666666666666666,0.0,240,8.0
52,3.7798980332609466,0.47446418827543274,4.354302038696901,0.48535564853556484,31,4.117154811715482,0.07467902420388786,77.40585774058577,0.4625,0.5375,0.0,240,8.0
53,4.001430851275886,0.5022716549718687,4.354302038696901,0.502092050209205,30,3.98326359832636,0.0779164166762471,76.15062761506276,0.44583333333333336,0.5541666666666667,0.0,240,8.0
54,7.204508883252419,0.9081313718385402,3.8891554969298934,0.8025210084033614,34,1.5732492997198877,0.08925200529776894,78.57142857142857,0.7071129707112971,0.2928870292887029,0.0,239,7.966666666666667
55,3.8503861904857035,0.4853427971200468,4.354302038696901,0.5126050420168067,29,3.882913165266107,0.078115018810954,76.47058823529412,0.33472803347280333,0.6652719665271967,0.0,239,7.966666666666667
56,4.003548562812153,0.5046489785057336,4.354302038696901,0.5,30,3.9833333333333334,0.07564271691487848,76.89075630252101,0.4602510460251046,0.5397489539748954,0.0,239,7.966666666666667
57,3.850680449732904,0.4853798886217947,4.354302038696901,0.5126050420168067,29,3.882913165266107,0.07811007951771472,76.47058823529412,0.33472803347280333,0.6652719665271967,0.0,239,7.966666666666667
58,4.018695888709643,0.5065583052995348,4.354302038696901,0.5,30,3.9833333333333334,0.07569258975791185,76.89075630252101,0.4602510460251046,0.5397489539748954,0.0,239,7.966666666666667
59,3.967933086006618,0.5001596326899099,4.354302038696901,0.5,30,3.9833333333333334,0.07556251553576221,76.47058823529412,0.4602510460251046,0.5397489539748954,0.0,239,7.966666666666667
60,3.758364156987155,0.4737433811328347,4.354302038696901,0.48739495798319327,31,4.08375350140056,0.07477738759082958,77.31092436974791,0.4602510460251046,0.5397489539748954,0.0,239,7.966666666666667
61,3.813096548001875,0.48064242201704316,4.354302038696901,0.4957983193277311,30,4.016806722689076,0.07491606213464842,76.89075630252101,0.4602510460251046,0.5397489539748954,0.0,239,7.966666666666667
62,4.00402580392619,0.5047091349486795,4.354302038696901,0.5,30,3.9833333333333334,0.0756417419049954,76.89075630252101,0.4602510460251046,0.5397489539748954,0.0,239,7.966666666666667
63,3.8188913372906668,0.48137285764168075,4.354302038696901,0.49159663865546216,31,4.050280112044818,0.07479974309666777,76.89075630252101,0.4602510460251046,0.5397489539748954,0.0,239,7.966666666666667
64,3.809952396877979,0.48024610044680416,4.354302038696901,0.4831932773109244,29,4.117226890756302,0.07547040035081648,77.73109243697479,0.39748953974895396,0.602510460251046,0.0,239,7.966666666666667
65,7.217669018530355,0.9097902124197927,3.8891554969298934,0.8025210084033614,33,1.5732492997198877,0.08876114584542799,78.99159663865547,0.7071129707112971,0.2928870292887029,0.0,239,7.966666666666667
66,7.21217351152163,0.9090975014523063,3.8891554969298934,0.7983193277310925,33,1.6067226890756299,0.08882761969527439,79.41176470588235,0.7071129707112971,0.2928870292887029,0.0,239,7.966666666666667
67,7.205046628470621,0.9081991548492379,3.8891554969298934,0.8025210084033614,34,1.5732492997198877,0.08926463728022288,78.57142857142857,0.7071129707112971,0.2928870292887029,0.0,239,7.966666666666667
68,4.017490983357657,0.5064064264736544,4.354302038696901,0.5,30,3.9833333333333334,0.07569071251954013,76.89075630252101,0.4602510460251046,0.5397489539748954,0.0,239,7.966666666666667
69,3.809829807237829,0.480230647971155,4.354302038696901,0.4831932773109244,29,4.117226890756302,0.07546848886048915,77.73109243697479,0.39748953974895396,0.602510460251046,0.0,239,7.966666666666667
70,7.230808674376361,0.9114464715600454,3.8891554969298934,0.7983193277310925,33,1.6067226890756299,0.08858038129970133,79.41176470588235,0.7071129707112971,0.2928870292887029,0.0,239,7.966666666666667
71,3.812896925896515,0.4806172595667877,4.354302038696901,0.4957983193277311,30,4.016806722689076,0.07490857632691929,76.89075630252101,0.4602510460251046,0.5397489539748954,0.0,239,7.966666666666667
72,4.004668192891596,0.5047901083476802,4.354302038696901,0.5,30,3.9833333333333334,0.07564553188058845,76.89075630252101,0.4602510460251046,0.5397489539748954,0.0,239,7.966666666666667
73,3.9521248597759473,0.49816699913142204,4.354302038696901,0.5,30,3.9833333333333334,0.07774662415625837,76.05042016806722,0.4435146443514644,0.5564853556485355,0.0,239,7.966666666666667
74,3.824516092196115,0.482081860360855,4.354302038696901,0.48739495798319327,28,4.08375350140056,0.07528232035670382,77.73109243697479,0.39748953974895396,0.602510460251046,0.0,239,7.966666666666667
75,3.953155659972699,0.4982969319293319,4.354302038696901,0.5,30,3.9833333333333334,0.07775048472171052,76.05042016806722,0.4435146443514644,0.5564853556485355,0.0,239,7.966666666666667
76,3.8201142104097947,0.4815270013121591,4.354302038696901,0.49159663865546216,31,4.050280112044818,0.0748028759817936,76.89075630252101,0.4602510460251046,0.5397489539748954,0.0,239,7.966666666666667
77,3.9315199626835016,0.4955697431953995,4.354302038696901,0.5,30,3.9833333333333334,0.07568260153711692,76.47058823529412,0.4602510460251046,0.5397489539748954,0.0,239,7.966666666666667
78,7.204791978772878,0.9081670561478417,3.8891554969298934,0.8025210084033614,34,1.5732492997198877,0.08925763095138564,78.57142857142857,0.7071129707112971,0.2928870292887029,0.0,239,7.966666666666667
79,3.952280437615451,0.4981866097834603,4.354302038696901,0.5,30,3.9833333333333334,0.07774371187688639,76.05042016806722,0.4435146443514644,0.5564853556485355,0.0,239,7.966666666666667
80,3.9688340586968924,0.500273200676079,4.354302038696901,0.5,30,3.9833333333333334,0.07556158554663556,76.47058823529412,0.4602510460251046,0.5397489539748954,0.0,239,7.966666666666667
81,3.7951161661672375,0.4783759873320048,4.354302038696901,0.4789915966386555,29,4.150700280112044,0.0754987017894938,77.31092436974791,0.39748953974895396,0.602510460251046,0.0,239,7.966666666666667
82,3.9690236119719713,0.5002970939460468,4.354302038696901,0.5,30,3.9833333333333334,0.07556393173625282,76.47058823529412,0.4602510460251046,0.5397489539748954,0.0,239,7.966666666666667
83,3.7522674239297578,0.4729748853692973,4.354302038696901,0.4831932773109244,30,4.117226890756302,0.0747789951277922,77.31092436974791,0.4602510460251046,0.5397489539748954,0.0,239,7.966666666666667
84,3.973105131899694,0.5008115712478607,4.354302038696901,0.4957983193277311,31,4.016806722689076,0.07708319471029967,76.47058823529412,0.4560669456066946,0.5439330543933054,0.0,239,7.966666666666667
