track_id,length,start_frame,last_seen,is_active
0,240,1,240,True
1,240,1,240,True
2,240,1,240,True
3,240,1,240,True
4,240,1,240,True
5,240,1,240,True
6,240,1,240,True
7,240,1,240,True
8,240,1,240,True
9,240,1,240,True
10,240,1,240,True
11,240,1,240,True
12,240,1,240,True
13,240,1,240,True
14,240,1,240,True
15,240,1,240,True
16,240,1,240,True
17,240,1,240,True
18,240,1,240,True
19,240,1,240,True
20,240,1,240,True
21,240,1,240,True
22,240,1,240,True
23,240,1,240,True
24,240,1,240,True
25,240,1,240,True
26,240,1,240,True
27,240,1,240,True
28,240,1,240,True
29,240,1,240,True
30,240,1,240,True
31,240,1,240,True
32,240,1,240,True
33,240,1,240,True
34,240,1,240,True
35,240,1,240,True
36,240,1,240,True
37,240,1,240,True
38,240,1,240,True
39,240,1,240,True
40,240,1,240,True
41,240,1,240,True
42,240,1,240,True
43,240,1,240,True
44,240,1,240,True
45,240,1,240,True
46,240,1,240,True
47,240,1,240,True
48,240,1,240,True
49,240,1,240,True
50,240,1,240,True
51,240,1,240,True
52,240,1,240,True
53,240,1,240,True
54,239,2,240,True
55,239,2,240,True
56,239,2,240,True
57,239,2,240,True
58,239,2,240,True
59,239,2,240,True
60,239,2,240,True
61,239,2,240,True
62,239,2,240,True
63,239,2,240,True
64,239,2,240,True
65,239,2,240,True
66,239,2,240,True
67,239,2,240,True
68,239,2,240,True
69,239,2,240,True
70,239,2,240,True
71,239,2,240,True
72,239,2,240,True
73,239,2,240,True
74,239,2,240,True
75,239,2,240,True
76,239,2,240,True
77,239,2,240,True
78,239,2,240,True
79,239,2,240,True
80,239,2,240,True
81,239,2,240,True
82,239,2,240,True
83,239,2,240,True
84,239,2,240,True
85,238,3,240,True
86,238,3,240,True
87,238,3,240,True
88,238,3,240,True
89,238,3,240,True
90,238,3,240,True
91,238,3,240,True
92,238,3,240,True
93,238,3,240,True
94,238,3,240,True
95,238,3,240,True
96,238,3,240,True
97,238,3,240,True
98,238,3,240,True
99,238,3,240,True
100,238,3,240,True
101,238,3,240,True
102,238,3,240,True
103,238,3,240,True
104,237,4,240,True
105,237,4,240,True
106,237,4,240,True
107,237,4,240,True
108,237,4,240,True
109,237,4,240,True
110,237,4,240,True
111,237,4,240,True
112,237,4,240,True
113,237,4,240,True
114,237,4,240,True
115,237,4,240,True
116,237,4,240,True
117,237,4,240,True
118,237,4,240,True
119,237,4,240,True
120,237,4,240,True
121,237,4,240,True
122,237,4,240,True
123,237,4,240,True
124,237,4,240,True
125,237,4,240,True
126,236,5,240,True
127,236,5,240,True
128,236,5,240,True
129,236,5,240,True
130,236,5,240,True
131,236,5,240,True
132,236,5,240,True
133,236,5,240,True
134,236,5,240,True
135,236,5,240,True
136,236,5,240,True
137,236,5,240,True
138,236,5,240,True
139,236,5,240,True
140,236,5,240,True
141,236,5,240,True
142,236,5,240,True
143,236,5,240,True
144,236,5,240,True
145,236,5,240,True
146,236,5,240,True
147,236,5,240,True
148,236,5,240,True
149,236,5,240,True
150,236,5,240,True
151,236,5,240,True
152,236,5,240,True
153,236,5,240,True
154,236,5,240,True
155,236,5,240,True
156,236,5,240,True
157,236,5,240,True
158,236,5,240,True
159,236,5,240,True
160,236,5,240,True
161,236,5,240,True
162,236,5,240,True
163,236,5,240,True
164,236,5,240,True
165,236,5,240,True
166,236,5,240,True
167,236,5,240,True
168,236,5,240,True
169,235,6,240,True
170,235,6,240,True
171,235,6,240,True
172,235,6,240,True
173,235,6,240,True
174,235,6,240,True
175,235,6,240,True
176,235,6,240,True
177,235,6,240,True
178,235,6,240,True
179,235,6,240,True
180,235,6,240,True
181,235,6,240,True
182,235,6,240,True
183,235,6,240,True
184,235,6,240,True
185,235,6,240,True
186,235,6,240,True
187,235,6,240,True
188,235,6,240,True
189,235,6,240,True
190,235,6,240,True
191,235,6,240,True
192,235,6,240,True
193,235,6,240,True
194,235,6,240,True
195,235,6,240,True
196,235,6,240,True
197,235,6,240,True
198,235,6,240,True
199,235,6,240,True
200,235,6,240,True
201,235,6,240,True
202,235,6,240,True
203,235,6,240,True
204,235,6,240,True
205,235,6,240,True
206,234,7,240,True
207,234,7,240,True
208,234,7,240,True
209,234,7,240,True
210,234,7,240,True
211,234,7,240,True
212,234,7,240,True
213,234,7,240,True
214,234,7,240,True
215,234,7,240,True
216,234,7,240,True
217,234,7,240,True
218,234,7,240,True
219,234,7,240,True
220,234,7,240,True
221,234,7,240,True
222,234,7,240,True
223,234,7,240,True
224,234,7,240,True
225,234,7,240,True
226,234,7,240,True
227,234,7,240,True
228,234,7,240,True
229,234,7,240,True
230,234,7,240,True
231,234,7,240,True
232,234,7,240,True
233,234,7,240,True
234,234,7,240,True
235,234,7,240,True
236,234,7,240,True
237,234,7,240,True
238,234,7,240,True
239,234,7,240,True
240,234,7,240,True
241,234,7,240,True
242,234,7,240,True
243,234,7,240,True
244,234,7,240,True
245,234,7,240,True
246,234,7,240,True
247,234,7,240,True
248,234,7,240,True
249,234,7,240,True
250,233,8,240,True
251,233,8,240,True
252,233,8,240,True
253,233,8,240,True
254,233,8,240,True
255,233,8,240,True
256,233,8,240,True
257,233,8,240,True
258,233,8,240,True
259,233,8,240,True
260,233,8,240,True
261,233,8,240,True
262,233,8,240,True
263,233,8,240,True
264,233,8,240,True
265,233,8,240,True
266,233,8,240,True
267,233,8,240,True
268,233,8,240,True
269,233,8,240,True
270,233,8,240,True
271,233,8,240,True
272,233,8,240,True
273,233,8,240,True
274,233,8,240,True
275,233,8,240,True
276,233,8,240,True
277,233,8,240,True
278,233,8,240,True
279,233,8,240,True
280,232,9,240,True
281,232,9,240,True
282,232,9,240,True
283,232,9,240,True
284,232,9,240,True
285,232,9,240,True
286,232,9,240,True
287,232,9,240,True
288,232,9,240,True
289,232,9,240,True
290,232,9,240,True
291,232,9,240,True
292,232,9,240,True
293,232,9,240,True
294,232,9,240,True
295,232,9,240,True
296,232,9,240,True
297,232,9,240,True
298,232,9,240,True
299,232,9,240,True
300,232,9,240,True
301,232,9,240,True
302,232,9,240,True
303,232,9,240,True
304,232,9,240,True
305,232,9,240,True
306,232,9,240,True
307,232,9,240,True
308,232,9,240,True
309,232,9,240,True
310,232,9,240,True
311,232,9,240,True
312,232,9,240,True
313,232,9,240,True
314,232,9,240,True
315,232,9,240,True
316,232,9,240,True
317,232,9,240,True
318,232,9,240,True
319,232,9,240,True
320,232,9,240,True
321,231,10,240,True
322,231,10,240,True
323,231,10,240,True
324,231,10,240,True
325,231,10,240,True
326,231,10,240,True
327,231,10,240,True
328,231,10,240,True
329,231,10,240,True
330,231,10,240,True
331,231,10,240,True
332,231,10,240,True
333,231,10,240,True
334,231,10,240,True
335,231,10,240,True
336,231,10,240,True
337,231,10,240,True
338,231,10,240,True
339,231,10,240,True
340,231,10,240,True
341,231,10,240,True
342,231,10,240,True
343,231,10,240,True
344,231,10,240,True
345,231,10,240,True
