frame_id,frame_number,num_detections,num_active_tracks
run_231106_seg043_frame3116,152,106,7437
run_231106_seg043_frame49559,153,146,7529
run_231106_seg044_frame7214,154,120,7601
run_231106_seg045_frame10045,155,109,7664
run_231106_seg045_frame41149,156,119,7736
run_231106_seg046_frame10513,157,138,7817
run_231106_seg046_frame51938,158,100,7873
run_231106_seg047_frame44625,159,90,7923
run_231127_seg000_frame27695,160,41,7951
run_231127_seg001_frame39115,161,19,7956
run_231127_seg001_frame4192,162,31,7975
run_231127_seg002_frame25038,163,17,7980
run_231127_seg002_frame25245,164,18,7986
run_231127_seg003_frame39081,165,18,7995
run_231127_seg004_frame30703,166,37,8024
run_231127_seg004_frame34705,167,36,8043
run_231127_seg005_frame16505,168,29,8059
run_231127_seg005_frame36285,169,27,8074
run_231127_seg006_frame781,170,29,8090
run_231127_seg007_frame44612,171,29,8110
run_231127_seg007_frame47262,172,11,8111
run_231127_seg008_frame44705,173,23,8125
run_231127_seg008_frame7536,174,30,8145
run_231127_seg009_frame35219,175,9,7202
run_231127_seg010_frame17515,176,25,7219
run_231127_seg010_frame49238,177,22,7230
run_231127_seg011_frame42035,178,12,7237
run_231127_seg011_frame50399,179,18,7249
run_231127_seg012_frame22322,180,22,7263
run_231127_seg012_frame7339,181,13,7269
run_231127_seg013_frame19263,182,14,7277
run_231127_seg014_frame10394,183,21,7289
run_231127_seg014_frame28521,184,11,7294
run_231127_seg015_frame241,185,16,7301
run_231127_seg015_frame29764,186,11,7304
run_231127_seg016_frame47352,187,20,7318
run_231127_seg017_frame17290,188,19,7328
run_231127_seg017_frame47193,189,36,7351
run_231127_seg018_frame32835,190,17,7357
run_231127_seg018_frame49964,191,19,7364
run_231127_seg019_frame11737,192,13,7368
run_231127_seg020_frame33300,193,22,7380
run_231127_seg020_frame7002,194,23,7394
run_231127_seg021_frame19587,195,13,7399
run_231127_seg021_frame41008,196,26,7415
run_231127_seg022_frame41903,197,32,7434
run_231127_seg023_frame33299,198,36,7457
run_231127_seg023_frame39938,199,36,7476
run_231127_seg024_frame10045,200,34,7495
run_231127_seg024_frame13064,201,33,7506
run_231127_seg025_frame24533,202,19,7513
run_231127_seg026_frame10616,203,35,7535
run_231127_seg026_frame50000,204,24,7547
run_231127_seg027_frame35377,205,28,7564
run_231127_seg027_frame51057,206,20,7568
run_231127_seg028_frame34786,207,26,7584
run_231127_seg029_frame39281,208,24,7595
run_231127_seg029_frame66,209,34,7616
run_231127_seg030_frame21272,210,19,7624
run_231127_seg030_frame32050,211,33,7644
run_231127_seg031_frame1305,212,31,7658
run_231127_seg032_frame23817,213,34,7680
run_231127_seg032_frame7360,214,32,7697
run_231127_seg033_frame20182,215,27,7712
run_231127_seg033_frame52901,216,32,7732
run_231127_seg034_frame15721,217,23,7744
run_231127_seg035_frame15814,218,32,7766
run_231127_seg035_frame3825,219,22,7776
run_231127_seg036_frame37211,220,35,7799
run_231127_seg036_frame5190,221,23,7812
run_231127_seg037_frame47995,222,19,7822
run_231127_seg037_frame5642,223,15,7832
run_231127_seg038_frame31878,224,21,7842
run_231127_seg039_frame4564,225,20,7854
run_231127_seg039_frame53507,226,9,7858
run_231127_seg040_frame34940,227,24,7876
run_231127_seg040_frame49875,228,18,7888
run_231127_seg041_frame50218,229,16,7894
run_231127_seg042_frame8270,230,31,7914
run_231127_seg042_frame8443,231,27,7917
run_231127_seg043_frame31177,232,29,7935
run_231127_seg043_frame43266,233,17,7942
run_231127_seg044_frame36060,234,34,7968
run_231127_seg045_frame10850,235,29,7985
run_231127_seg045_frame17399,236,21,7994
run_231127_seg046_frame34610,237,17,8000
run_231127_seg046_frame39782,238,12,8002
run_231127_seg047_frame27759,239,34,8026
