epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,123.683,0.04851,0.94225,0.23463,0.60162,6.3343,0.75446,0.83568,0.8382,0.36935,0.80547,0.87793,0.87886,0.65015,0.04828,0.95873,0.19068,0.67145,6.23362,0.000958881,0.000958881,0.000958881
28,128.098,0.04866,0.80588,0.23751,0.6434,6.65668,0.66969,0.41315,0.49398,0.16685,0.73976,0.45376,0.5961,0.37696,0.06635,1.54098,0.18322,1.31736,7.76223,0.000955706,0.000955706,0.000955706
29,132.512,0.04812,0.77417,0.19708,0.60632,6.27033,0.66969,0.41315,0.49398,0.16685,0.73976,0.45376,0.5961,0.37696,0.06635,1.54098,0.18322,1.31736,7.76223,0.000952418,0.000952418,0.000952418
30,136.939,0.04823,0.7513,0.19199,0.6385,6.70929,0.66969,0.41315,0.49398,0.16685,0.73976,0.45376,0.5961,0.37696,0.06635,1.54098,0.18322,1.31736,7.76223,0.000949019,0.000949019,0.000949019
31,141.377,0.04608,0.73928,0.20095,0.59064,6.03581,0.6723,0.74164,0.78033,0.36559,0.7251,0.76526,0.82927,0.69048,0.04789,0.77403,0.14882,0.68485,6.14986,0.000945509,0.000945509,0.000945509
32,145.781,0.04758,0.79818,0.19595,0.57451,6.03162,0.6723,0.74164,0.78033,0.36559,0.7251,0.76526,0.82927,0.69048,0.04789,0.77403,0.14882,0.68485,6.14986,0.000941889,0.000941889,0.000941889
33,150.26,0.04701,0.65104,0.189,0.57012,6.25036,0.75493,0.81221,0.81803,0.36167,0.78752,0.88741,0.88474,0.70781,0.04873,0.73024,0.13928,0.61211,6.21601,0.00093816,0.00093816,0.00093816
34,154.716,0.0475,0.59218,0.2003,0.5806,6.1463,0.75493,0.81221,0.81803,0.36167,0.78752,0.88741,0.88474,0.70781,0.04873,0.73024,0.13928,0.61211,6.21601,0.000934322,0.000934322,0.000934322
35,159.132,0.04622,0.62226,0.20082,0.54868,5.7826,0.75493,0.81221,0.81803,0.36167,0.78752,0.88741,0.88474,0.70781,0.04873,0.73024,0.13928,0.61211,6.21601,0.000930378,0.000930378,0.000930378
36,163.642,0.04696,0.5707,0.20365,0.59388,6.12568,0.77798,0.87324,0.83042,0.37015,0.80075,0.92452,0.88144,0.7436,0.04773,0.60127,0.13264,0.59617,6.12852,0.000926327,0.000926327,0.000926327
37,168.355,0.04762,0.51117,0.19798,0.5879,6.24332,0.77798,0.87324,0.83042,0.37015,0.80075,0.92452,0.88144,0.7436,0.04773,0.60127,0.13264,0.59617,6.12852,0.000922172,0.000922172,0.000922172
38,173.082,0.04697,0.50844,0.18739,0.5773,6.2513,0.77798,0.87324,0.83042,0.37015,0.80075,0.92452,0.88144,0.7436,0.04773,0.60127,0.13264,0.59617,6.12852,0.000917912,0.000917912,0.000917912
39,177.753,0.04756,0.50821,0.18588,0.56142,6.13558,0.79361,0.88457,0.82967,0.38564,0.83674,0.9384,0.90392,0.79043,0.04874,0.49233,0.1289,0.60333,6.20879,0.000913549,0.000913549,0.000913549
40,182.423,0.04686,0.49578,0.20314,0.56994,6.15861,0.79361,0.88457,0.82967,0.38564,0.83674,0.9384,0.90392,0.79043,0.04874,0.49233,0.1289,0.60333,6.20879,0.000909084,0.000909084,0.000909084
41,187.104,0.04662,0.49824,0.16877,0.54392,5.93995,0.85662,0.9108,0.89542,0.42024,0.86637,0.95775,0.93517,0.81428,0.04745,0.46159,0.11613,0.60472,6.08359,0.000904518,0.000904518,0.000904518
42,191.728,0.04599,0.42668,0.17728,0.57578,6.35275,0.85662,0.9108,0.89542,0.42024,0.86637,0.95775,0.93517,0.81428,0.04745,0.46159,0.11613,0.60472,6.08359,0.000899852,0.000899852,0.000899852
43,196.445,0.04569,0.43624,0.15048,0.54413,6.12105,0.85662,0.9108,0.89542,0.42024,0.86637,0.95775,0.93517,0.81428,0.04745,0.46159,0.11613,0.60472,6.08359,0.000895088,0.000895088,0.000895088
44,201.097,0.04481,0.39847,0.18537,0.54624,6.01689,0.82965,0.89172,0.89739,0.39409,0.86516,0.94366,0.96252,0.86678,0.04967,0.45099,0.10624,0.56917,6.20972,0.000890226,0.000890226,0.000890226
45,205.848,0.04476,0.36462,0.19092,0.54346,5.98974,0.82965,0.89172,0.89739,0.39409,0.86516,0.94366,0.96252,0.86678,0.04967,0.45099,0.10624,0.56917,6.20972,0.000885268,0.000885268,0.000885268
46,210.538,0.04556,0.39624,0.18549,0.53454,5.79566,0.82965,0.89172,0.89739,0.39409,0.86516,0.94366,0.96252,0.86678,0.04967,0.45099,0.10624,0.56917,6.20972,0.000880215,0.000880215,0.000880215
47,215.223,0.04561,0.36467,0.15153,0.51862,6.17266,0.86808,0.90141,0.90166,0.40451,0.90856,0.94836,0.9761,0.8857,0.05003,0.46069,0.09671,0.54139,6.22704,0.000875068,0.000875068,0.000875068
48,219.899,0.04584,0.41753,0.17546,0.53552,6.07964,0.86808,0.90141,0.90166,0.40451,0.90856,0.94836,0.9761,0.8857,0.05003,0.46069,0.09671,0.54139,6.22704,0.000869829,0.000869829,0.000869829
49,224.621,0.04644,0.45126,0.15264,0.52316,5.85623,0.77053,0.79812,0.83461,0.37697,0.78016,0.8169,0.86231,0.76044,0.04924,0.68135,0.10547,0.63924,6.25836,0.000864498,0.000864498,0.000864498
50,229.064,0.04389,0.38184,0.14031,0.49273,5.74065,0.77053,0.79812,0.83461,0.37697,0.78016,0.8169,0.86231,0.76044,0.04924,0.68135,0.10547,0.63924,6.25836,0.000859077,0.000859077,0.000859077
51,233.583,0.04418,0.38787,0.15088,0.50426,5.97477,0.77053,0.79812,0.83461,0.37697,0.78016,0.8169,0.86231,0.76044,0.04924,0.68135,0.10547,0.63924,6.25836,0.000853568,0.000853568,0.000853568
52,238.214,0.04453,0.35031,0.15633,0.49752,5.80616,0.75132,0.75587,0.8094,0.35131,0.74742,0.78404,0.8311,0.70041,0.0502,0.82766,0.1014,0.66568,6.37415,0.000847972,0.000847972,0.000847972
53,242.684,0.04592,0.41089,0.16257,0.48386,6.00238,0.75132,0.75587,0.8094,0.35131,0.74742,0.78404,0.8311,0.70041,0.0502,0.82766,0.1014,0.66568,6.37415,0.000842289,0.000842289,0.000842289
54,247.153,0.04543,0.42569,0.20777,0.4914,5.85057,0.75132,0.75587,0.8094,0.35131,0.74742,0.78404,0.8311,0.70041,0.0502,0.82766,0.1014,0.66568,6.37415,0.000836523,0.000836523,0.000836523
55,251.612,0.04678,0.37512,0.16929,0.53218,6.29522,0.71103,0.71362,0.75258,0.32776,0.722,0.74648,0.78752,0.64105,0.0513,0.92042,0.09883,0.72609,6.4876,0.000830673,0.000830673,0.000830673
56,256.017,0.04508,0.32541,0.14537,0.48635,5.90374,0.71103,0.71362,0.75258,0.32776,0.722,0.74648,0.78752,0.64105,0.0513,0.92042,0.09883,0.72609,6.4876,0.000824742,0.000824742,0.000824742
57,260.478,0.04446,0.35097,0.14213,0.50776,6.10947,0.62254,0.59623,0.61052,0.26554,0.64862,0.71362,0.71383,0.55945,0.05374,1.05036,0.09978,0.88282,6.85798,0.00081873,0.00081873,0.00081873
58,264.922,0.04522,0.37638,0.15007,0.50224,5.93298,0.62254,0.59623,0.61052,0.26554,0.64862,0.71362,0.71383,0.55945,0.05374,1.05036,0.09978,0.88282,6.85798,0.00081264,0.00081264,0.00081264
59,269.333,0.04496,0.37527,0.1444,0.49954,6.03372,0.62254,0.59623,0.61052,0.26554,0.64862,0.71362,0.71383,0.55945,0.05374,1.05036,0.09978,0.88282,6.85798,0.000806473,0.000806473,0.000806473
60,273.873,0.04512,0.38557,0.14601,0.50268,5.79219,0.64806,0.46009,0.49492,0.21039,0.66086,0.50235,0.56213,0.45483,0.05957,1.55265,0.08618,1.04256,7.67858,0.00080023,0.00080023,0.00080023
61,278.322,0.04519,0.30197,0.15734,0.49323,6.04173,0.64806,0.46009,0.49492,0.21039,0.66086,0.50235,0.56213,0.45483,0.05957,1.55265,0.08618,1.04256,7.67858,0.000793913,0.000793913,0.000793913
62,282.818,0.04728,0.36009,0.1818,0.49653,6.03259,0.64806,0.46009,0.49492,0.21039,0.66086,0.50235,0.56213,0.45483,0.05957,1.55265,0.08618,1.04256,7.67858,0.000787524,0.000787524,0.000787524
63,287.274,0.04351,0.31348,0.12927,0.48139,5.81393,0.55669,0.50703,0.46801,0.19031,0.59793,0.54458,0.5211,0.39754,0.05944,1.66442,0.08611,1.08164,7.55789,0.000781064,0.000781064,0.000781064
64,291.708,0.04414,0.2853,0.16417,0.49057,6.00291,0.55669,0.50703,0.46801,0.19031,0.59793,0.54458,0.5211,0.39754,0.05944,1.66442,0.08611,1.08164,7.55789,0.000774534,0.000774534,0.000774534
65,296.178,0.04234,0.29977,0.19134,0.48776,5.79212,0.54266,0.62392,0.55905,0.23931,0.61105,0.61219,0.62232,0.50039,0.0552,1.19457,0.09106,0.8956,6.96351,0.000767937,0.000767937,0.000767937
66,300.605,0.04467,0.31641,0.1424,0.46806,6.01139,0.54266,0.62392,0.55905,0.23931,0.61105,0.61219,0.62232,0.50039,0.0552,1.19457,0.09106,0.8956,6.96351,0.000761273,0.000761273,0.000761273
67,305.013,0.04422,0.33807,0.13713,0.4764,5.75144,0.54266,0.62392,0.55905,0.23931,0.61105,0.61219,0.62232,0.50039,0.0552,1.19457,0.09106,0.8956,6.96351,0.000754545,0.000754545,0.000754545
68,309.44,0.0454,0.31958,0.14498,0.46728,5.66496,0.59878,0.59624,0.63486,0.27816,0.60258,0.66197,0.7289,0.59295,0.05355,1.04526,0.09441,0.78476,6.75115,0.000747755,0.000747755,0.000747755
69,313.845,0.04301,0.23918,0.13624,0.45781,5.88079,0.59878,0.59624,0.63486,0.27816,0.60258,0.66197,0.7289,0.59295,0.05355,1.04526,0.09441,0.78476,6.75115,0.000740903,0.000740903,0.000740903
70,318.258,0.04234,0.2613,0.13965,0.46165,5.77101,0.59878,0.59624,0.63486,0.27816,0.60258,0.66197,0.7289,0.59295,0.05355,1.04526,0.09441,0.78476,6.75115,0.000733992,0.000733992,0.000733992
71,322.671,0.04534,0.31589,0.15176,0.48872,5.91217,0.7395,0.70892,0.77401,0.35536,0.77721,0.7534,0.83464,0.75661,0.0489,0.58999,0.08977,0.66693,6.29376,0.000727023,0.000727023,0.000727023
72,327.062,0.04482,0.27653,0.18466,0.48109,6.23226,0.7395,0.70892,0.77401,0.35536,0.77721,0.7534,0.83464,0.75661,0.0489,0.58999,0.08977,0.66693,6.29376,0.000719998,0.000719998,0.000719998
73,331.517,0.04363,0.27489,0.142,0.4659,5.79512,0.80754,0.723,0.80403,0.35515,0.82671,0.75117,0.8603,0.7914,0.04893,0.48344,0.08437,0.64953,6.28031,0.000712918,0.000712918,0.000712918
74,335.922,0.04417,0.30158,0.13866,0.48164,5.66886,0.80754,0.723,0.80403,0.35515,0.82671,0.75117,0.8603,0.7914,0.04893,0.48344,0.08437,0.64953,6.28031,0.000705787,0.000705787,0.000705787
75,340.323,0.04451,0.28354,0.12471,0.5003,6.04862,0.80754,0.723,0.80403,0.35515,0.82671,0.75117,0.8603,0.7914,0.04893,0.48344,0.08437,0.64953,6.28031,0.000698604,0.000698604,0.000698604
76,344.784,0.04514,0.25736,0.14096,0.48334,5.77232,0.7895,0.76056,0.83795,0.3896,0.80841,0.80282,0.88233,0.81641,0.04771,0.43491,0.08148,0.60645,6.12321,0.000691373,0.000691373,0.000691373
77,349.265,0.04232,0.2892,0.13717,0.46722,5.66113,0.7895,0.76056,0.83795,0.3896,0.80841,0.80282,0.88233,0.81641,0.04771,0.43491,0.08148,0.60645,6.12321,0.000684094,0.000684094,0.000684094
78,353.67,0.04298,0.27527,0.1621,0.46667,5.65989,0.7895,0.76056,0.83795,0.3896,0.80841,0.80282,0.88233,0.81641,0.04771,0.43491,0.08148,0.60645,6.12321,0.00067677,0.00067677,0.00067677
79,358.08,0.04354,0.28686,0.15375,0.47837,5.76668,0.77128,0.83911,0.84443,0.41373,0.78559,0.86854,0.88514,0.80994,0.04603,0.44548,0.08017,0.5706,5.96674,0.000669402,0.000669402,0.000669402
80,362.491,0.04281,0.26206,0.123,0.46178,5.74734,0.77128,0.83911,0.84443,0.41373,0.78559,0.86854,0.88514,0.80994,0.04603,0.44548,0.08017,0.5706,5.96674,0.000661993,0.000661993,0.000661993
81,366.93,0.04187,0.25947,0.15641,0.44826,5.47341,0.74483,0.80751,0.82277,0.39973,0.76762,0.83099,0.85482,0.77731,0.04691,0.50124,0.07874,0.5953,6.01029,0.000654543,0.000654543,0.000654543
82,371.31,0.0422,0.2149,0.13683,0.45991,5.93353,0.74483,0.80751,0.82277,0.39973,0.76762,0.83099,0.85482,0.77731,0.04691,0.50124,0.07874,0.5953,6.01029,0.000647055,0.000647055,0.000647055
83,375.704,0.04352,0.22921,0.15488,0.47162,5.79595,0.74483,0.80751,0.82277,0.39973,0.76762,0.83099,0.85482,0.77731,0.04691,0.50124,0.07874,0.5953,6.01029,0.000639532,0.000639532,0.000639532
84,380.104,0.04322,0.26588,0.12506,0.48583,5.87254,0.89812,0.87793,0.92094,0.46237,0.91734,0.89671,0.95291,0.91433,0.04573,0.28912,0.07182,0.49776,5.86665,0.000631973,0.000631973,0.000631973
