epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,528.276,0.04295,0.194,0.13153,0.43448,5.58099,0.90086,0.94366,0.96512,0.50887,0.91479,0.95769,0.97892,0.96102,0.04434,0.19828,0.06053,0.41584,5.78428,0.000375717,0.000375717,0.000375717
118,532.662,0.04172,0.2051,0.14038,0.43001,5.4514,0.90086,0.94366,0.96512,0.50887,0.91479,0.95769,0.97892,0.96102,0.04434,0.19828,0.06053,0.41584,5.78428,0.000368127,0.000368127,0.000368127
119,537.131,0.03931,0.1677,0.09905,0.40592,5.50099,0.89921,0.94366,0.96724,0.51348,0.91263,0.95775,0.9789,0.96144,0.04387,0.2088,0.06003,0.41709,5.75931,0.000360568,0.000360568,0.000360568
120,541.502,0.03986,0.19658,0.12428,0.41154,5.39768,0.89921,0.94366,0.96724,0.51348,0.91263,0.95775,0.9789,0.96144,0.04387,0.2088,0.06003,0.41709,5.75931,0.000353045,0.000353045,0.000353045
121,545.943,0.03951,0.18228,0.13714,0.40493,5.33477,0.90563,0.94836,0.968,0.51567,0.91926,0.96221,0.98031,0.96259,0.04355,0.20448,0.05916,0.41409,5.7428,0.000345557,0.000345557,0.000345557
122,550.579,0.04028,0.20573,0.14475,0.41513,5.23398,0.90563,0.94836,0.968,0.51567,0.91926,0.96221,0.98031,0.96259,0.04355,0.20448,0.05916,0.41409,5.7428,0.000338107,0.000338107,0.000338107
123,555.2,0.04119,0.20767,0.12283,0.41739,5.40586,0.90563,0.94836,0.968,0.51567,0.91926,0.96221,0.98031,0.96259,0.04355,0.20448,0.05916,0.41409,5.7428,0.000330698,0.000330698,0.000330698
124,559.903,0.0407,0.18063,0.12063,0.41201,5.50534,0.89719,0.94232,0.95797,0.50385,0.924,0.97041,0.98114,0.9664,0.0447,0.19209,0.05642,0.41027,5.78947,0.00032333,0.00032333,0.00032333
125,564.309,0.03951,0.16781,0.10366,0.40085,5.44512,0.89719,0.94232,0.95797,0.50385,0.924,0.97041,0.98114,0.9664,0.0447,0.19209,0.05642,0.41027,5.78947,0.000316006,0.000316006,0.000316006
126,568.716,0.04042,0.18068,0.1219,0.3967,5.57192,0.89719,0.94232,0.95797,0.50385,0.924,0.97041,0.98114,0.9664,0.0447,0.19209,0.05642,0.41027,5.78947,0.000308727,0.000308727,0.000308727
127,573.21,0.03999,0.15368,0.10574,0.39874,5.66293,0.91604,0.89671,0.94255,0.47858,0.92486,0.96714,0.9816,0.97014,0.04625,0.18164,0.05494,0.41918,5.89535,0.000301496,0.000301496,0.000301496
128,577.605,0.04137,0.17796,0.11859,0.41704,5.60636,0.91604,0.89671,0.94255,0.47858,0.92486,0.96714,0.9816,0.97014,0.04625,0.18164,0.05494,0.41918,5.89535,0.000294313,0.000294313,0.000294313
129,582.037,0.03948,0.15324,0.13109,0.39199,5.52106,0.91001,0.90208,0.93236,0.47693,0.93147,0.95726,0.9808,0.96891,0.04573,0.18326,0.0545,0.41128,5.85895,0.000287182,0.000287182,0.000287182
130,586.406,0.03866,0.16062,0.11632,0.40278,5.50624,0.91001,0.90208,0.93236,0.47693,0.93147,0.95726,0.9808,0.96891,0.04573,0.18326,0.0545,0.41128,5.85895,0.000280102,0.000280102,0.000280102
131,590.806,0.03973,0.18257,0.12198,0.40522,5.52994,0.91001,0.90208,0.93236,0.47693,0.93147,0.95726,0.9808,0.96891,0.04573,0.18326,0.0545,0.41128,5.85895,0.000273077,0.000273077,0.000273077
132,595.224,0.04025,0.16362,0.13034,0.39962,5.69422,0.90904,0.9108,0.93721,0.48902,0.93594,0.96244,0.98079,0.9681,0.04525,0.18948,0.05443,0.40391,5.82702,0.000266108,0.000266108,0.000266108
133,599.636,0.03909,0.20989,0.13495,0.38845,5.15066,0.90904,0.9108,0.93721,0.48902,0.93594,0.96244,0.98079,0.9681,0.04525,0.18948,0.05443,0.40391,5.82702,0.000259197,0.000259197,0.000259197
134,603.999,0.04055,0.2075,0.16784,0.41715,5.79052,0.90904,0.9108,0.93721,0.48902,0.93594,0.96244,0.98079,0.9681,0.04525,0.18948,0.05443,0.40391,5.82702,0.000252345,0.000252345,0.000252345
135,608.473,0.03917,0.20278,0.10955,0.38584,5.19916,0.9026,0.91369,0.93511,0.49039,0.94233,0.96714,0.98208,0.96884,0.04491,0.19043,0.05382,0.40076,5.82385,0.000245555,0.000245555,0.000245555
136,612.865,0.04024,0.20084,0.13504,0.39858,5.59736,0.9026,0.91369,0.93511,0.49039,0.94233,0.96714,0.98208,0.96884,0.04491,0.19043,0.05382,0.40076,5.82385,0.000238827,0.000238827,0.000238827
137,617.326,0.03948,0.15434,0.11953,0.38959,5.45298,0.90846,0.92019,0.93718,0.49523,0.94554,0.95775,0.98251,0.96479,0.04434,0.1973,0.05357,0.39624,5.78963,0.000232163,0.000232163,0.000232163
138,621.725,0.04009,0.16464,0.09791,0.39004,5.68286,0.90846,0.92019,0.93718,0.49523,0.94554,0.95775,0.98251,0.96479,0.04434,0.1973,0.05357,0.39624,5.78963,0.000225566,0.000225566,0.000225566
139,626.117,0.04221,0.17414,0.13466,0.41055,6.15143,0.90846,0.92019,0.93718,0.49523,0.94554,0.95775,0.98251,0.96479,0.04434,0.1973,0.05357,0.39624,5.78963,0.000219036,0.000219036,0.000219036
140,630.514,0.04068,0.18048,0.1307,0.39853,5.29472,0.91452,0.92488,0.9489,0.49203,0.94712,0.95775,0.98235,0.96213,0.04442,0.19786,0.05308,0.40267,5.80485,0.000212576,0.000212576,0.000212576
141,634.921,0.04038,0.17474,0.11629,0.39063,5.49832,0.91452,0.92488,0.9489,0.49203,0.94712,0.95775,0.98235,0.96213,0.04442,0.19786,0.05308,0.40267,5.80485,0.000206187,0.000206187,0.000206187
142,639.408,0.0414,0.19463,0.16921,0.40686,5.58402,0.91452,0.92488,0.9489,0.49203,0.94712,0.95775,0.98235,0.96213,0.04442,0.19786,0.05308,0.40267,5.80485,0.00019987,0.00019987,0.00019987
143,643.837,0.04033,0.18086,0.10092,0.39753,5.45216,0.91979,0.92958,0.95477,0.50896,0.94774,0.95775,0.98265,0.96492,0.04401,0.19864,0.05295,0.39952,5.772,0.000193627,0.000193627,0.000193627
144,648.277,0.03773,0.16882,0.11646,0.37869,5.38525,0.91979,0.92958,0.95477,0.50896,0.94774,0.95775,0.98265,0.96492,0.04401,0.19864,0.05295,0.39952,5.772,0.00018746,0.00018746,0.00018746
145,652.694,0.03917,0.164,0.10043,0.38627,5.59153,0.93161,0.94366,0.97976,0.52345,0.94096,0.95305,0.98405,0.96832,0.0431,0.19841,0.05367,0.39094,5.72164,0.00018137,0.00018137,0.00018137
146,657.321,0.03915,0.15737,0.09344,0.38586,5.51173,0.93161,0.94366,0.97976,0.52345,0.94096,0.95305,0.98405,0.96832,0.0431,0.19841,0.05367,0.39094,5.72164,0.000175358,0.000175358,0.000175358
147,661.99,0.03982,0.17313,0.12,0.38988,5.5032,0.93161,0.94366,0.97976,0.52345,0.94096,0.95305,0.98405,0.96832,0.0431,0.19841,0.05367,0.39094,5.72164,0.000169427,0.000169427,0.000169427
148,666.648,0.03879,0.15056,0.10059,0.38395,5.56964,0.93463,0.94366,0.97984,0.52823,0.94393,0.95305,0.98316,0.96557,0.04319,0.20557,0.05398,0.39245,5.72561,0.000163577,0.000163577,0.000163577
149,671.345,0.03881,0.17144,0.12229,0.388,5.48889,0.93463,0.94366,0.97984,0.52823,0.94393,0.95305,0.98316,0.96557,0.04319,0.20557,0.05398,0.39245,5.72561,0.000157811,0.000157811,0.000157811
150,675.978,0.03867,0.16269,0.1067,0.37802,5.33338,0.93463,0.94366,0.97984,0.52823,0.94393,0.95305,0.98316,0.96557,0.04319,0.20557,0.05398,0.39245,5.72561,0.000152128,0.000152128,0.000152128
151,680.744,0.04217,0.21448,0.12407,0.40589,5.19752,0.92543,0.92958,0.96768,0.51598,0.95223,0.95305,0.98375,0.96785,0.0438,0.20344,0.05289,0.39749,5.75009,0.000146532,0.000146532,0.000146532
152,685.204,0.03979,0.17728,0.11559,0.38392,5.20779,0.92543,0.92958,0.96768,0.51598,0.95223,0.95305,0.98375,0.96785,0.0438,0.20344,0.05289,0.39749,5.75009,0.000141023,0.000141023,0.000141023
153,689.682,0.03808,0.1749,0.1161,0.38626,5.16035,0.92514,0.92834,0.96772,0.5116,0.94853,0.95181,0.98411,0.97216,0.04435,0.19043,0.05264,0.40259,5.77439,0.000135602,0.000135602,0.000135602
154,694.063,0.04098,0.17219,0.11351,0.39675,5.54391,0.92514,0.92834,0.96772,0.5116,0.94853,0.95181,0.98411,0.97216,0.04435,0.19043,0.05264,0.40259,5.77439,0.000130271,0.000130271,0.000130271
155,698.498,0.03967,0.17046,0.155,0.40692,5.25924,0.92514,0.92834,0.96772,0.5116,0.94853,0.95181,0.98411,0.97216,0.04435,0.19043,0.05264,0.40259,5.77439,0.000125032,0.000125032,0.000125032
156,702.947,0.03898,0.18516,0.14856,0.38804,5.1929,0.92386,0.92958,0.96659,0.51746,0.94808,0.95305,0.98429,0.97495,0.04402,0.18281,0.05261,0.39766,5.75454,0.000119885,0.000119885,0.000119885
157,707.36,0.03816,0.18132,0.10529,0.37514,5.11234,0.92386,0.92958,0.96659,0.51746,0.94808,0.95305,0.98429,0.97495,0.04402,0.18281,0.05261,0.39766,5.75454,0.000114832,0.000114832,0.000114832
158,711.767,0.03859,0.16536,0.10126,0.37894,5.23274,0.92386,0.92958,0.96659,0.51746,0.94808,0.95305,0.98429,0.97495,0.04402,0.18281,0.05261,0.39766,5.75454,0.000109874,0.000109874,0.000109874
159,716.232,0.03981,0.16397,0.0999,0.39164,5.72392,0.9174,0.92488,0.96624,0.51925,0.9454,0.95305,0.98491,0.976,0.04393,0.17942,0.0525,0.39704,5.75296,0.000105012,0.000105012,0.000105012
160,720.863,0.03855,0.16777,0.13093,0.38593,5.57458,0.9174,0.92488,0.96624,0.51925,0.9454,0.95305,0.98491,0.976,0.04393,0.17942,0.0525,0.39704,5.75296,0.000100248,0.000100248,0.000100248
161,725.559,0.03804,0.18825,0.10987,0.38665,5.15384,0.92141,0.92958,0.96963,0.52076,0.94468,0.95305,0.98522,0.97544,0.04395,0.17882,0.05201,0.39868,5.75726,9.5582e-05,9.5582e-05,9.5582e-05
162,730.225,0.03946,0.18744,0.12055,0.38454,5.14643,0.92141,0.92958,0.96963,0.52076,0.94468,0.95305,0.98522,0.97544,0.04395,0.17882,0.05201,0.39868,5.75726,9.1016e-05,9.1016e-05,9.1016e-05
163,734.954,0.03881,0.15794,0.12638,0.38038,5.43992,0.92141,0.92958,0.96963,0.52076,0.94468,0.95305,0.98522,0.97544,0.04395,0.17882,0.05201,0.39868,5.75726,8.65511e-05,8.65511e-05,8.65511e-05
164,739.605,0.03854,0.15366,0.10032,0.37526,5.3261,0.89596,0.92989,0.95267,0.50892,0.93993,0.95504,0.9853,0.97577,0.0445,0.17855,0.0514,0.39978,5.78928,8.21881e-05,8.21881e-05,8.21881e-05
165,744.023,0.04292,0.16338,0.12445,0.3997,6.04514,0.89596,0.92989,0.95267,0.50892,0.93993,0.95504,0.9853,0.97577,0.0445,0.17855,0.0514,0.39978,5.78928,7.79283e-05,7.79283e-05,7.79283e-05
166,748.404,0.03709,0.15174,0.09677,0.3581,5.16514,0.89596,0.92989,0.95267,0.50892,0.93993,0.95504,0.9853,0.97577,0.0445,0.17855,0.0514,0.39978,5.78928,7.37725e-05,7.37725e-05,7.37725e-05
167,752.886,0.0383,0.14835,0.13463,0.3712,5.28631,0.88944,0.94426,0.95246,0.50567,0.93993,0.95305,0.98533,0.97406,0.04487,0.17955,0.05079,0.39884,5.82163,6.9722e-05,6.9722e-05,6.9722e-05
168,757.294,0.03936,0.16406,0.10881,0.38051,5.26561,0.88944,0.94426,0.95246,0.50567,0.93993,0.95305,0.98533,0.97406,0.04487,0.17955,0.05079,0.39884,5.82163,6.57777e-05,6.57777e-05,6.57777e-05
169,761.729,0.03772,0.16779,0.11707,0.36211,5.02675,0.89382,0.94846,0.95696,0.50612,0.92035,0.97653,0.98542,0.97382,0.04473,0.18052,0.05045,0.39541,5.82536,6.19405e-05,6.19405e-05,6.19405e-05
170,766.118,0.03786,0.15176,0.11571,0.37223,5.37383,0.89382,0.94846,0.95696,0.50612,0.92035,0.97653,0.98542,0.97382,0.04473,0.18052,0.05045,0.39541,5.82536,5.82114e-05,5.82114e-05,5.82114e-05
171,770.521,0.03811,0.16981,0.12243,0.36819,5.28191,0.89382,0.94846,0.95696,0.50612,0.92035,0.97653,0.98542,0.97382,0.04473,0.18052,0.05045,0.39541,5.82536,5.45913e-05,5.45913e-05,5.45913e-05
172,775.025,0.03906,0.16836,0.10236,0.38506,5.29995,0.89837,0.95455,0.96627,0.51104,0.95262,0.95305,0.98536,0.97317,0.04462,0.18148,0.05001,0.39178,5.82158,5.10811e-05,5.10811e-05,5.10811e-05
173,779.488,0.03896,0.15233,0.1132,0.37512,5.42669,0.89837,0.95455,0.96627,0.51104,0.95262,0.95305,0.98536,0.97317,0.04462,0.18148,0.05001,0.39178,5.82158,4.76817e-05,4.76817e-05,4.76817e-05
174,783.871,0.03803,0.18541,0.10966,0.37592,5.33869,0.89837,0.95455,0.96627,0.51104,0.95262,0.95305,0.98536,0.97317,0.04462,0.18148,0.05001,0.39178,5.82158,4.43939e-05,4.43939e-05,4.43939e-05
175,788.314,0.03836,0.15642,0.10758,0.38188,5.35882,0.9307,0.92488,0.96647,0.51081,0.95432,0.94836,0.98544,0.97485,0.04458,0.18285,0.04998,0.38956,5.81924,4.12186e-05,4.12186e-05,4.12186e-05
176,792.694,0.03645,0.15074,0.10471,0.35678,5.22677,0.9307,0.92488,0.96647,0.51081,0.95432,0.94836,0.98544,0.97485,0.04458,0.18285,0.04998,0.38956,5.81924,3.81564e-05,3.81564e-05,3.81564e-05
177,797.213,0.0385,0.15445,0.10874,0.37939,5.32787,0.93821,0.92677,0.97139,0.51489,0.95717,0.94435,0.98533,0.97523,0.04427,0.18329,0.04998,0.39079,5.8012,3.52082e-05,3.52082e-05,3.52082e-05
178,801.705,0.037,0.16036,0.11546,0.36267,5.41695,0.93821,0.92677,0.97139,0.51489,0.95717,0.94435,0.98533,0.97523,0.04427,0.18329,0.04998,0.39079,5.8012,3.23748e-05,3.23748e-05,3.23748e-05
179,806.103,0.03828,0.17624,0.11495,0.37033,5.07859,0.93821,0.92677,0.97139,0.51489,0.95717,0.94435,0.98533,0.97523,0.04427,0.18329,0.04998,0.39079,5.8012,2.96567e-05,2.96567e-05,2.96567e-05
180,810.52,0.03843,0.16218,0.12521,0.36742,5.28479,0.93837,0.92924,0.97156,0.51614,0.95728,0.94682,0.9854,0.97406,0.04423,0.18294,0.04976,0.39029,5.80062,2.70546e-05,2.70546e-05,2.70546e-05
181,815.992,0.03849,0.15199,0.09058,0.3687,5.28118,0.93837,0.92924,0.97156,0.51614,0.95728,0.94682,0.9854,0.97406,0.04423,0.18294,0.04976,0.39029,5.80062,2.45693e-05,2.45693e-05,2.45693e-05
182,820.362,0.03823,0.14813,0.0961,0.35784,5.22439,0.93837,0.92924,0.97156,0.51614,0.95728,0.94682,0.9854,0.97406,0.04423,0.18294,0.04976,0.39029,5.80062,2.22013e-05,2.22013e-05,2.22013e-05
183,824.747,0.03755,0.14705,0.09151,0.36258,5.34392,0.9428,0.9286,0.97134,0.51398,0.96185,0.94698,0.98527,0.97406,0.04453,0.1837,0.04962,0.39295,5.82425,1.99512e-05,1.99512e-05,1.99512e-05
184,829.11,0.03793,0.14898,0.09048,0.36126,5.13715,0.9428,0.9286,0.97134,0.51398,0.96185,0.94698,0.98527,0.97406,0.04453,0.1837,0.04962,0.39295,5.82425,1.78195e-05,1.78195e-05,1.78195e-05
185,833.604,0.03759,0.13848,0.09286,0.35536,5.2354,0.94268,0.9266,0.97144,0.51399,0.96174,0.94417,0.98539,0.97431,0.04452,0.1829,0.04949,0.39161,5.82335,1.58068e-05,1.58068e-05,1.58068e-05
186,837.967,0.03709,0.1469,0.08827,0.35944,5.25671,0.94268,0.9266,0.97144,0.51399,0.96174,0.94417,0.98539,0.97431,0.04452,0.1829,0.04949,0.39161,5.82335,1.39137e-05,1.39137e-05,1.39137e-05
187,842.323,0.03766,0.16134,0.10161,0.37648,5.18953,0.94268,0.9266,0.97144,0.51399,0.96174,0.94417,0.98539,0.97431,0.04452,0.1829,0.04949,0.39161,5.82335,1.21404e-05,1.21404e-05,1.21404e-05
188,846.716,0.03808,0.14744,0.09535,0.36468,5.49924,0.93776,0.91956,0.96661,0.51073,0.96169,0.94279,0.98519,0.97482,0.04464,0.18254,0.04937,0.39215,5.83218,1.04876e-05,1.04876e-05,1.04876e-05
189,851.149,0.03905,0.15407,0.10315,0.3772,5.28341,0.93776,0.91956,0.96661,0.51073,0.96169,0.94279,0.98519,0.97482,0.04464,0.18254,0.04937,0.39215,5.83218,8.95549e-06,8.95549e-06,8.95549e-06
190,855.522,0.03698,0.15707,0.09389,0.35979,5.17986,0.93776,0.91956,0.96661,0.51073,0.96169,0.94279,0.98519,0.97482,0.04464,0.18254,0.04937,0.39215,5.83218,7.54459e-06,7.54459e-06,7.54459e-06
191,859.979,0.03755,0.1393,0.08331,0.36213,5.25905,0.93779,0.92006,0.96678,0.50548,0.96171,0.94331,0.98531,0.97526,0.0448,0.18177,0.04923,0.39336,5.844,6.25521e-06,6.25521e-06,6.25521e-06
192,864.333,0.03746,0.14887,0.09571,0.35714,4.97212,0.93779,0.92006,0.96678,0.50548,0.96171,0.94331,0.98531,0.97526,0.0448,0.18177,0.04923,0.39336,5.844,5.08767e-06,5.08767e-06,5.08767e-06
193,868.736,0.03715,0.13457,0.08566,0.36953,5.60975,0.93781,0.92037,0.9666,0.51014,0.96173,0.94384,0.98499,0.97508,0.04454,0.18344,0.04925,0.39327,5.82352,4.04226e-06,4.04226e-06,4.04226e-06
194,873.118,0.03728,0.13981,0.08042,0.36633,5.41775,0.93781,0.92037,0.9666,0.51014,0.96173,0.94384,0.98499,0.97508,0.04454,0.18344,0.04925,0.39327,5.82352,3.11922e-06,3.11922e-06,3.11922e-06
195,877.495,0.03729,0.15371,0.09781,0.3737,5.20837,0.93781,0.92037,0.9666,0.51014,0.96173,0.94384,0.98499,0.97508,0.04454,0.18344,0.04925,0.39327,5.82352,2.3188e-06,2.3188e-06,2.3188e-06
196,881.897,0.03836,0.1452,0.09315,0.36226,5.38822,0.93798,0.92299,0.96682,0.5123,0.96178,0.94526,0.98527,0.9753,0.04459,0.18212,0.0493,0.39199,5.83241,1.64118e-06,1.64118e-06,1.64118e-06
197,886.277,0.03799,0.14216,0.08418,0.36454,5.39683,0.93798,0.92299,0.96682,0.5123,0.96178,0.94526,0.98527,0.9753,0.04459,0.18212,0.0493,0.39199,5.83241,1.08654e-06,1.08654e-06,1.08654e-06
198,890.627,0.0372,0.15075,0.08139,0.3597,5.32947,0.93798,0.92299,0.96682,0.5123,0.96178,0.94526,0.98527,0.9753,0.04459,0.18212,0.0493,0.39199,5.83241,6.55007e-07,6.55007e-07,6.55007e-07
199,895.004,0.03758,0.14453,0.09531,0.3609,5.28237,0.93811,0.92508,0.96684,0.51181,0.96175,0.94433,0.98506,0.97521,0.04467,0.18321,0.04925,0.39264,5.83607,3.46695e-07,3.46695e-07,3.46695e-07
200,899.379,0.03816,0.1414,0.09708,0.3631,5.26638,0.93811,0.92508,0.96684,0.51181,0.96175,0.94433,0.98506,0.97521,0.04467,0.18321,0.04925,0.39264,5.83607,1.61678e-07,1.61678e-07,1.61678e-07
